Songtitle,Artist(s),uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Used to This (feat. Drake),"['Future', 'Drake']",spotify:track:3V8sM5OOG6YfDuDLa2IIYJ,0.618,0.727,3,-7.224,0,0.208,0.0312,0.0,0.196,0.401,164.992
Send My Love (To Your New Lover),['Adele'],spotify:track:3LGxef3inmn5jMLGDz9lqw,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023
Would I Lie to You - Radio Edit,"['David Guetta', 'Cedric Gervais', 'Chris Willis']",spotify:track:4PdJSsESm34djLfBde9Pr2,0.671,0.826,7,-5.766,0,0.309,0.00718,0.0,0.631,0.774,123.986
Famous,['Kanye West'],spotify:track:19a3JfW8BQwqHWUMbcqSx8,0.465,0.735,6,-3.715,1,0.117,0.0711,0.0,0.0975,0.409,173.935
Hymn for the Weekend - Seeb Remix,"['Coldplay', 'Seeb']",spotify:track:6s3GEN8wK0OMzzzZbXj0fu,0.565,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.034
Leave,['Post Malone'],spotify:track:6hPIfCuLNPiIeiI9bDkOdy,0.542,0.562,4,-7.177,1,0.023,0.203,0.000111,0.123,0.593,90.087
everybody dies,['J. Cole'],spotify:track:1wIQtB3UQ1TfjNMZZqO6eh,0.779,0.694,9,-9.376,1,0.2,0.281,1.36e-05,0.109,0.569,82.861
False Prophets,['J. Cole'],spotify:track:0eneujAc4PxkdjP25Gsue1,0.729,0.739,8,-9.5,0,0.338,0.696,9.37e-06,0.164,0.749,90.306
One Night,['Lil Yachty'],spotify:track:40yJGQyEaBbIkXpwMFkXip,0.764,0.475,0,-12.618,1,0.114,0.345,0.0,0.14,0.34,129.974
Too Much Sauce (feat. Future & Lil Uzi Vert),"['DJ ESCO', 'Future', 'Lil Uzi Vert']",spotify:track:5oyUurs28XRagLa8lgm6V3,0.96,0.547,6,-6.992,0,0.0786,0.0496,0.0,0.216,0.186,121.01
Close to You - Remastered,['Carpenters'],spotify:track:5AANXiLSXz9NM66icmTR2x,0.508,0.232,8,-14.199,1,0.0359,0.736,6.95e-05,0.0966,0.249,89.324
Stand Tall,['Childish Gambino'],spotify:track:7j8k8M9korrPWTERMyD7mM,0.42,0.247,2,-13.37,0,0.036,0.705,0.00349,0.127,0.138,88.071
The Night Me and Your Mama Met,['Childish Gambino'],spotify:track:5cw7g1XATH9ghXX1Qm82BX,0.535,0.124,1,-14.362,0,0.0313,0.969,0.22,0.0619,0.106,133.867
Baby Boy,['Childish Gambino'],spotify:track:3X7xCWOmb7UdYJDGP4oNIx,0.536,0.409,2,-6.983,0,0.0357,0.129,0.458,0.0668,0.706,200.003
Terrified,['Childish Gambino'],spotify:track:1D1oE9i8sxo8fJ1Jbgr3Ys,0.473,0.409,0,-10.998,0,0.0544,0.416,0.566,0.099,0.103,139.891
California,['Childish Gambino'],spotify:track:5sHde7fFQ5TthEulnBllhi,0.878,0.436,3,-11.184,1,0.558,0.306,0.0,0.112,0.861,148.94
Redbone,['Childish Gambino'],spotify:track:3kxfsdsCpFgN412fpnW85Y,0.745,0.356,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033
Riot,['Childish Gambino'],spotify:track:2u9kn2AZkrMCb11SuaGGGi,0.498,0.949,5,-5.918,1,0.0704,0.000269,1.61e-05,0.396,0.574,91.316
Zombies,['Childish Gambino'],spotify:track:73kAUSAht4YOR7xNPmNb2L,0.653,0.411,0,-11.986,1,0.127,0.503,0.000969,0.067,0.468,160.055
Boogieman,['Childish Gambino'],spotify:track:6D2w3GPnTpLJt56dHEIuWW,0.724,0.767,11,-7.913,0,0.0955,0.09,0.199,0.198,0.648,87.992
Me and Your Mama,['Childish Gambino'],spotify:track:4r0GVpjSsKSR1biv4fOoa5,0.556,0.45,5,-11.874,1,0.0338,0.0105,0.0483,0.0707,0.25,117.99
Have Some Love,['Childish Gambino'],spotify:track:5LTgI9VsuL3NKrv2WHBgNx,0.783,0.803,4,-6.266,0,0.0805,0.0158,0.016,0.681,0.945,148.227
Now and Later,['Sage The Gemini'],spotify:track:43jBqV3j3Xi1g6wO0bhIMd,0.781,0.57,11,-5.874,0,0.188,0.273,0.0,0.196,0.858,107.059
